,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,book_chapter,work_in_event,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,participation_event,name,first_doc,institution,ind_prod,min_book_year,min_book_chapter_year,min_article_year,min_work_in_event_year,min_text_in_newspaper_magazine_year,min_patent_year,min_guidance_year,min_software
67,0611984b-7c35-47e8-bc90-8603ffff3b34,,,,1,,1,,1,,,,,3,,6,10,Pós-Doutorado,,1,,,1,,,15,,,105,Sandra Regina Rosa Farias,2013,UNEB,1.5,2023,2009,2001,2002,,,2001.0,
68,22a5c3b8-0ef7-453e-8dab-2208da99a8e5,,,,11,1,7,6,1,,2,,2,3,4,14,48,Doutorado,,11,1,14,6,5,,15,,8,73,Cláudio Eduardo Félix dos Santos,2011,UESB,13.24,2007,2012,2006,2003,2004,,2006.0,
69,e18b47a5-ed09-45a6-ac7e-50025b7f5f96,,,,,,,,,,,,2,,,1,3,Doutorado,,,,,,,,,,,,Márcia Braga De Carvalho Ferreira,2011,UEFS,0.25,,2007,2008,2010,,,,
70,c9462a62-a0e0-4f8b-be4f-592967e25a5a,,,,4,,,,,1,,1,,,3,2,5,Especialização,,,,,,,,2,,,13,Paulo Alfredo Martins Rocha,None,UNEB,0.75,2007,2017,2000,1998,,,2018.0,
71,4288b9dd-d0a3-4ff1-bbeb-0c69812b159a,,,,,15,25,11,7,5,1,12,16,10,4,,127,Doutorado,6,16,5,31,13,11,,12,,,20,Leandro Soares Santos,2013,UESB,57.37,,,2003,2001,,,2010.0,
72,8b2889da-101f-40d6-b2f8-665cb45e147a,,,,1,,,,,2,,,,,,2,7,Doutorado,,,,,,,,,,,18,Taína Assis Soares,2023,UICL,1.0,2020,2012,2018,2010,,,2021.0,
73,e5a75758-467a-4438-b134-790c578b99d6,,,,,2,1,1,1,5,5,15,,2,,2,127,Doutorado,6,19,,,,,,31,,4,43,Fábio Silva de Carvalho,2012,UESB,12.35,,2012,2008,2006,2008,,2014.0,
74,68a0269e-723b-47e9-9ee1-c6ca9df8949f,,,,,,,1,,1,,3,,3,,2,3,Doutorado,,,,,,,,,,,,Márcia Cristina Maciel De Aguiar,2018,UICL,2.0,,2013,2011,2010,,,,
75,add3ee17-aeb9-4777-8055-e3516a72c03b,,,,3,,1,,,,,,1,1,2,23,32,Pós-Doutorado,,3,2,3,,,,17,,1,58,Marize Damiana Moura Batista e Batista,2018,UICL,1.0,2022,2016,2010,2003,2014,,2011.0,
76,7cad56d6-2205-42a7-b71c-26851fb177f7,,,,,2,,1,3,4,5,1,,1,,3,8,Doutorado,,,,1,,,,35,,3,44,Sélton Diniz dos Santos,2023,UEFS,8.725,,2019,2016,2016,,,2011.0,
